County	Year	Avg API	Median House Value
Madera	2012	718.7031191721737	82.08
Madera	2008	701.0092163560727	155.83
Tulare	2010	711.8193210807178	93.75
Tulare	2007	698.8135726227439	152.58
Tulare	2011	716.7714579272198	84.83
Tulare	2009	707.7045566121102	107.75
Tulare	2012	721.460570508485	82.42
Tulare	2008	704.1254614628169	128.33
Monterey	2010	709.4556526149685	218.0
Monterey	2007	691.3650015807777	433.83
Monterey	2011	714.3604693872272	197.92
Monterey	2009	706.0011482586452	233.25
Monterey	2012	719.2358302806213	196.92
Monterey	2008	701.44214599724	330.25
Mariposa	2010	709.1478832918177	123.83
Mariposa	2007	691.7991896682704	201.75
Mariposa	2011	713.9681738559818	102.92
Mariposa	2009	705.7927839998255	176.83
Mariposa	2012	718.8589545346784	100.5
Mariposa	2008	701.1425131243077	225.42
San Joaquin	2010	710.4140123205775	98.75
San Joaquin	2007	695.4404645986924	214.92
San Joaquin	2011	715.4010508845207	93.08
San Joaquin	2009	706.743076923077	111.5
San Joaquin	2012	720.202844427551	94.17
San Joaquin	2008	702.6615516791369	156.25
Calaveras	2010	708.1892393705851	142.58
Calaveras	2007	679.4037735849057	236.33
Calaveras	2011	712.5958237962803	131.0
Calaveras	2009	704.8468425392733	172.5
Calaveras	2012	717.5290553460965	118.25
Calaveras	2008	699.805051322243	203.42
Sutter	2010	711.5495519199059	99.58
Sutter	2007	698.3137630128598	162.92
Sutter	2011	716.5088864024667	89.83
Sutter	2009	707.526243228402	106.42
Sutter	2012	721.2184773876378	86.17
Sutter	2008	703.8566636299392	133.08
Kings	2010	708.7901483553535	107.75
Kings	2007	694.1515837104073	149.08
Kings	2011	713.4875117494454	97.08
Kings	2009	705.5118561446579	124.0
Kings	2012	718.3964203416132	91.92
Kings	2008	700.7765201911366	133.42
Lassen	2010	708.8960202635985	102.67
Lassen	2007	693.8924780802953	169.08
Lassen	2011	713.6407488387334	85.08
Lassen	2009	705.6105009822054	122.33
Lassen	2012	718.5455962190985	83.17
Lassen	2008	700.8917953754129	145.0
Del Norte	2010	708.3467675803568	122.83
Del Norte	2007	686.7037735849057	164.25
Del Norte	2011	712.8427533577167	112.0
Del Norte	2009	705.0467973285146	145.08
Del Norte	2012	717.7707165867351	104.58
Del Norte	2008	700.0766771682728	166.25
Colusa	2010	708.2393543238587	95.33
Colusa	2007	680.3353474320242	170.17
Colusa	2011	712.6772885590358	85.92
Colusa	2009	704.9155460034797	128.17
Colusa	2012	717.6091419661291	86.17
Colusa	2008	699.879765323907	139.42
Orange	2010	709.652420246097	291.42
Orange	2007	692.0011405398556	409.08
Orange	2011	714.5982522815563	277.25
Orange	2009	706.1435912400095	296.0
Orange	2012	719.4615044544926	277.42
Orange	2008	701.6784973680013	346.67
San Bernardino	2010	710.1409624818538	121.75
San Bernardino	2007	694.7889387651393	234.25
San Bernardino	2011	715.1233086895202	115.92
San Bernardino	2009	706.5264077124068	133.08
San Bernardino	2012	719.9473220678406	117.08
San Bernardino	2008	702.3785095118972	184.92
Amador	2010	708.0867838211244	144.5
Amador	2007	676.2013888888889	213.08
Amador	2011	712.4291426653407	118.5
Amador	2009	704.7027833215305	165.92
Amador	2012	717.3656793808852	121.17
Amador	2008	699.6439151590097	176.67
Riverside	2010	709.8928839271179	119.42
Riverside	2007	693.7607843137255	222.58
Riverside	2011	714.8600042170877	114.33
Riverside	2009	706.338042757113	127.42
Riverside	2012	719.7034520763284	116.75
Riverside	2008	702.0649995025866	173.92
San Diego	2010	710.2332194388983	231.67
San Diego	2007	695.0727617842455	317.58
San Diego	2011	715.2172796114644	219.92
San Diego	2009	706.6003624211188	229.5
San Diego	2012	720.0333979049695	223.08
San Diego	2008	702.4845041909766	266.58
Sacramento	2010	709.9760238650608	124.08
Sacramento	2007	694.1676946800309	218.33
Sacramento	2011	714.9484830502795	111.17
Sacramento	2009	706.4012698891913	138.0
Sacramento	2012	719.7853150292894	112.42
Sacramento	2008	702.1782266105694	170.75
Ventura	2010	711.9963028169014	242.5
Ventura	2007	699.0955345232802	338.42
Ventura	2011	716.9436043954214	229.17
Ventura	2009	707.8191172769133	250.0
Ventura	2012	721.6201800693626	225.92
Ventura	2008	704.29673835237	282.0
Fresno	2010	708.4580385327092	101.25
Fresno	2007	690.8307493540052	172.42
Fresno	2011	713.0079616516733	90.42
Fresno	2009	705.1726639507538	115.75
Fresno	2012	717.9310078767114	89.33
Fresno	2008	700.2790860697934	141.25
Yuba	2010	712.1718917994592	88.67
Yuba	2007	699.37983622122	149.08
Yuba	2011	717.1140225814926	79.75
Yuba	2009	707.9292190210724	90.67
Yuba	2012	721.7781757140111	77.5
Yuba	2008	704.4683715580813	114.92
Kern	2010	708.7360430718632	90.25
Kern	2007	694.2622222222222	167.33
Kern	2011	713.4093368495237	81.92
Kern	2009	705.4604752188508	101.92
Kern	2012	718.3203839224147	83.42
Kern	2008	700.7135501719467	130.75
San Francisco	2010	710.3238511365635	550.75
San Francisco	2007	695.283946959034	639.75
San Francisco	2011	715.309555440707	527.17
San Francisco	2009	706.6725649781569	542.75
San Francisco	2012	720.1183467041311	552.83
San Francisco	2008	702.5776685533822	607.25
Santa Cruz	2010	710.8846598408818	342.25
Santa Cruz	2007	696.6237654969532	468.92
Santa Cruz	2011	715.8656020645849	322.67
Santa Cruz	2009	707.0794610758325	361.75
Santa Cruz	2012	720.629214746834	324.83
Santa Cruz	2008	703.1415143194943	394.75
El Dorado	2010	708.4011393677874	165.08
El Dorado	2007	689.1779527559055	250.08
El Dorado	2011	712.9247738926998	153.33
El Dorado	2009	705.1095263250572	188.83
El Dorado	2012	717.8507379570756	151.17
El Dorado	2008	700.1808290155441	217.58
Los Angeles	2010	708.9589035271537	269.58
Los Angeles	2007	692.902841781874	383.58
Los Angeles	2011	713.7234062089673	256.42
Los Angeles	2009	705.6578734065287	265.0
Los Angeles	2012	718.6246798451702	255.58
Los Angeles	2008	700.9507869228364	320.33
Sonoma	2010	711.362871321408	245.42
Sonoma	2007	697.8829990846301	355.0
Sonoma	2011	716.3284528689571	221.5
Sonoma	2009	707.4010389114499	260.5
Sonoma	2012	721.0529468995336	221.67
Sonoma	2008	703.6584326107529	292.67
Nevada	2010	709.5747261627359	190.42
Nevada	2007	691.3256861941827	280.58
Nevada	2011	714.5118212002072	170.17
Nevada	2009	706.0771171423709	223.25
Nevada	2012	719.3814107113487	161.58
Nevada	2008	701.552030353306	250.58
Tehama	2010	711.6409505691452	86.33
Tehama	2007	698.5042492917847	104.5
Tehama	2011	716.5974251084056	76.58
Tehama	2009	707.5869075884185	94.0
Tehama	2012	721.2999287139036	77.67
Tehama	2008	703.9507388339129	89.83
Plumas	2010	709.8117785522297	138.83
Plumas	2007	693.322769434629	239.58
Plumas	2011	714.7726158325352	125.17
Plumas	2009	706.2733020658742	204.92
Plumas	2012	719.6224751129722	115.42
Plumas	2008	701.9475892584682	214.67
San Luis Obispo	2010	710.5047049872866	249.67
San Luis Obispo	2007	695.6185236130216	344.42
San Luis Obispo	2011	715.4922642911562	232.75
San Luis Obispo	2009	706.8119569469044	268.5
San Luis Obispo	2012	720.2869834682567	233.25
San Luis Obispo	2008	702.7468613014428	307.0
Stanislaus	2010	711.4567533742276	93.92
Stanislaus	2007	698.108541350985	203.5
Stanislaus	2011	716.4191424448926	87.25
Stanislaus	2009	707.4643006131589	104.08
Stanislaus	2012	721.1360952862941	88.75
Stanislaus	2008	703.7593183868953	148.67
Butte	2010	708.1382573575869	139.08
Butte	2007	677.9852216748768	189.33
Butte	2011	712.5130072475006	125.42
Butte	2009	704.7759568611715	154.33
Butte	2012	717.4478279035358	126.58
Butte	2008	699.726332247557	168.0
Santa Barbara	2010	710.6885654395195	303.67
Santa Barbara	2007	696.0549283416203	397.75
Santa Barbara	2011	715.6755537035556	282.17
Santa Barbara	2009	706.9475112966686	321.5
Santa Barbara	2012	720.4558159813919	269.25
Santa Barbara	2008	702.9294057690347	357.92
Mendocino	2010	709.210803303852	176.42
Mendocino	2007	691.6947845804989	269.83
Mendocino	2011	714.0483700543967	161.0
Mendocino	2009	705.8366239346151	205.83
Mendocino	2012	718.935825875858	151.25
Mendocino	2008	701.2080939334638	233.75
Humboldt	2010	708.5705178018676	164.17
Humboldt	2007	693.2129455909944	199.75
Humboldt	2011	713.1711161188728	156.08
Humboldt	2009	705.2935173395251	173.42
Humboldt	2012	718.0886681935234	148.58
Humboldt	2008	700.4714098918661	186.58
Marin	2010	709.0851358598499	403.83
Marin	2007	691.9848441521304	505.58
Marin	2011	713.887302766287	379.58
Marin	2009	705.7489686480038	422.0
Marin	2012	718.7815091525681	389.0
Marin	2008	701.0771359391214	483.42
Inyo	2010	708.6811576233305	181.67
Inyo	2011	713.3303872994053	169.75
Inyo	2009	705.4076445102489	157.5
Inyo	2012	718.2436112410313	161.83
San Mateo	2010	710.5967642740943	452.33
San Mateo	2007	695.8402472952087	568.25
San Mateo	2011	715.584171009984	433.83
San Mateo	2009	706.8792610550646	453.92
San Mateo	2012	720.3716012053103	445.33
San Mateo	2008	702.8386243661694	516.92
Contra Costa	2010	708.2935269371692	217.58
Contra Costa	2007	684.1883720930233	355.33
Contra Costa	2011	712.7606866239107	197.92
Contra Costa	2009	704.9821664953199	236.33
Contra Costa	2012	717.6904629062325	197.58
Contra Costa	2008	699.9810020976354	286.25
